,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
0,BBC,Sun Nov 05 20:49:53 +0000 2017,"RT @BBCOne: Q: How many tickles does it take to make a squid laugh?
A: Ten tickles. 

#BluePlanet2 https://t.co/fhKPOUBp5U",0.5574,0.175,0.825,0.0,1
1,BBC,Sun Nov 05 20:47:59 +0000 2017,RT @bbcstrictly: That shock result has left us spinning. RT to show your love for @AstonMerrygold and @JManrara ? https://t.co/KJVszLhB2k,0.3818,0.176,0.714,0.109,2
2,BBC,Sun Nov 05 20:46:18 +0000 2017,"RT @BBCTwo: Well, you don't see that every day... #RobotWars https://t.co/sLq92M7mqY",0.2732,0.174,0.826,0.0,3
3,BBC,Sun Nov 05 20:46:10 +0000 2017,RT @BBCOne: Can’t beat a good accessory. ? #BluePlanet2 https://t.co/mRZZEdwmlO,0.4404,0.293,0.707,0.0,4
4,BBC,Sun Nov 05 20:46:01 +0000 2017,RT @BBCPanorama: Watch our #paradisepapers investigation into the offshore secrets of the rich &amp; famous on iPlayer.  https://t.co/MIH4CMbhZ…,0.5574,0.175,0.825,0.0,5
5,BBC,Sun Nov 05 20:08:11 +0000 2017,"RT @BBCBreaking: At least 27 people killed in Texas church shooting, police commissioner in Sutherland Springs tells US media https://t.co/…",-0.6705,0.0,0.809,0.191,6
6,BBC,Sun Nov 05 19:35:03 +0000 2017,? @LouisTheroux meets disaffected former members of the Church of Scientology. #MyScientologyMovie. Tonight at 9pm… https://t.co/5hRLxriwiW,0.0,0.0,1.0,0.0,7
7,BBC,Sun Nov 05 19:02:04 +0000 2017,When your other half cheats on you with #StrangerThings. ? Via @BBCTheSocial. https://t.co/NOpHOfbIKb,-0.4215,0.0,0.797,0.203,8
8,BBC,Sun Nov 05 18:31:08 +0000 2017,? Family favourites at their finest. Check out these recipes for 10 absolute classics. ? https://t.co/kFD6BsfO6q https://t.co/xw1Q5SYadk,0.0,0.0,1.0,0.0,9
9,BBC,Sun Nov 05 18:01:02 +0000 2017,Second hand smoke affects our pets too. ?? Via @BBCBreakfast. https://t.co/TCdA8m85dm,0.4939,0.242,0.758,0.0,10
10,BBC,Sun Nov 05 17:29:05 +0000 2017,It took more than 1 man on a single night to nearly change the course of British history. ? #BonfireNight.… https://t.co/RnzZm8yh9j,0.0,0.0,1.0,0.0,11
11,BBC,Sun Nov 05 17:01:05 +0000 2017,"'It's one of those stories you think you know. Then you realise you just don't.'

Do you know the real… https://t.co/M8np5ep1yz",0.0,0.0,1.0,0.0,12
12,BBC,Sun Nov 05 16:30:06 +0000 2017,"?? How much would you pay for a cask of rare Scotch whisky? An anonymous buyer in Hong Kong just dropped £285,000.… https://t.co/ZzUInzNqEo",-0.1027,0.0,0.938,0.062,13
13,BBC,Sun Nov 05 16:02:04 +0000 2017,"#PeakyBlinders series 4 returns to @BBCTwo, Wednesday 15th November at 9pm. https://t.co/lbVlyzhb4p",0.0,0.0,1.0,0.0,14
14,BBC,Sun Nov 05 15:32:01 +0000 2017,"Tonight, #BluePlanet2 makes a groundbreaking journey to the depths of the ocean. 8pm on @BBCOne. ? ? ?… https://t.co/S3gcHqmTMf",0.0,0.0,1.0,0.0,15
15,BBC,Sun Nov 05 15:00:21 +0000 2017,Moynaq: The port city that lost its water. ? Via @BBC_Travel. https://t.co/Qr1ZLExpBb https://t.co/G8QxO8qAZ5,-0.3182,0.0,0.827,0.173,16
16,BBC,Sun Nov 05 14:30:05 +0000 2017,"Having a bonfire today? ?
Make sure you think about the hedgehogs! Via @BBCSpringwatch.

More ?… https://t.co/zbHOX6yl9O",0.3802,0.156,0.844,0.0,17
17,BBC,Sun Nov 05 14:00:17 +0000 2017,From wild goats to woodland walks - here are your pictures of beautiful Scotland. ? https://t.co/sv03yk0H76 https://t.co/KHKNGXcROU,0.5994,0.218,0.782,0.0,18
18,BBC,Sun Nov 05 13:30:06 +0000 2017,"Can @Joe_Sugg zip it for 30s? 
If chatting is your thing, how about a sponsored silence for #CiN? 
More ideas here… https://t.co/OPA2UMuuPZ",0.0,0.0,1.0,0.0,19
19,BBC,Sun Nov 05 13:00:08 +0000 2017,Guy Fawkes: Why do bonfires still burn 400 years on? ? #BonfireNight #GuyFawkesNight. https://t.co/dAKAZY4ZEX https://t.co/lsiivkKSgk,0.0,0.0,1.0,0.0,20
20,BBC,Sun Nov 05 12:01:01 +0000 2017,? A group of octopuses were seen taking a leisurely stroll along a Ceredigion beach last Friday night. Via… https://t.co/n3jq0oNT7J,0.0,0.0,1.0,0.0,21
21,BBC,Sun Nov 05 11:00:06 +0000 2017,?By 2050 70% of the world's population will be living in cities. Time to radically rethink what we want from a city… https://t.co/pz5xleBKWz,0.0772,0.058,0.942,0.0,22
22,BBC,Sun Nov 05 10:05:04 +0000 2017,"??? When the boys wouldn't let them play football, these girls took matters into their own hands. Via @BBC100Women. https://t.co/0j68Wbrr3Z",-0.2349,0.052,0.852,0.096,23
23,BBC,Sun Nov 05 09:30:26 +0000 2017,".@LindaRobson58, @tomallencomedy, @misJORGIEPORTER &amp; @OreOduba star in @GrumpyLGoodman's Partners in Rhyme:… https://t.co/SLJlz8D01M",0.0,0.0,1.0,0.0,24
24,BBC,Sun Nov 05 09:30:09 +0000 2017,"? From the new Pixar animation to Oscar-favourite coming-of-age stories, here are 10 films to watch this November.?… https://t.co/NqtcuUqOXN",0.0,0.0,1.0,0.0,25
25,BBC,Sun Nov 05 09:24:59 +0000 2017,"RT @BBCWthrWatchers: Morning all! Only one way to start our Sunday and that's with a bit of ...

?Oooooooooo! ? Aahhhhhhhhhh!? https://t.co…",0.0,0.0,1.0,0.0,26
26,BBC,Sun Nov 05 09:24:54 +0000 2017,"RT @BBCSpringwatch: Stunning capture of puffins at the Isle of May, Scotland. https://t.co/cBWxx9rQav",0.3818,0.178,0.822,0.0,27
27,BBC,Sun Nov 05 09:24:48 +0000 2017,RT @BBCFood: Heading to the fireworks later? Put this in the slow cooker and warm up when you get home https://t.co/EPJfvmFkfS https://t.co…,0.2263,0.083,0.917,0.0,28
